user_id,plan_id,plan_name,billing_cycle,status,mrr,start_date,end_date,cancellation_reason
1,3,Starter,annual,canceled,12.5,2024-11-21,2025-09-12,Switched to competitor
2,6,Enterprise,monthly,active,199.0,2025-08-19,,
3,1,Free,monthly,canceled,0.0,2026-03-18,2026-04-25,Missing features
4,4,Pro,monthly,canceled,49.0,2024-09-27,2026-01-30,Switched to competitor
5,2,Starter,monthly,canceled,15.0,2025-08-14,2025-09-10,No longer needed
6,5,Pro,annual,active,40.83,2024-11-29,,
7,4,Pro,monthly,active,49.0,2026-01-16,,
8,1,Free,monthly,active,0.0,2026-04-21,,
9,1,Free,monthly,active,0.0,2026-06-24,,
10,1,Free,monthly,active,0.0,2025-01-05,,
11,4,Pro,monthly,active,49.0,2024-03-06,,
12,2,Starter,monthly,active,15.0,2026-02-07,,
13,1,Free,monthly,active,0.0,2024-04-18,,
14,6,Enterprise,monthly,canceled,199.0,2026-03-11,2026-06-12,Poor support experience
15,7,Enterprise,annual,active,165.83,2024-06-12,,
16,1,Free,monthly,canceled,0.0,2025-06-24,2025-09-06,Too expensive
17,1,Free,monthly,active,0.0,2025-06-13,,
18,1,Free,monthly,canceled,0.0,2024-08-22,2025-01-31,Too expensive
19,2,Starter,monthly,canceled,15.0,2025-08-13,2025-09-27,Poor support experience
20,4,Pro,monthly,active,49.0,2025-11-20,,
21,2,Starter,monthly,active,15.0,2025-04-04,,
22,7,Enterprise,annual,active,165.83,2026-06-22,,
23,1,Free,monthly,active,0.0,2024-06-17,,
24,6,Enterprise,monthly,active,199.0,2024-09-07,,
25,1,Free,monthly,active,0.0,2024-06-10,,
26,4,Pro,monthly,active,49.0,2024-11-24,,
27,5,Pro,annual,active,40.83,2024-12-22,,
28,4,Pro,monthly,canceled,49.0,2024-04-12,2026-01-24,Too expensive
29,1,Free,monthly,active,0.0,2025-03-24,,
30,1,Free,monthly,canceled,0.0,2024-09-27,2026-04-02,Switched to competitor
31,6,Enterprise,monthly,active,199.0,2025-07-14,,
32,3,Starter,annual,active,12.5,2026-01-29,,
33,1,Free,monthly,active,0.0,2025-08-19,,
34,6,Enterprise,monthly,canceled,199.0,2025-12-16,2026-05-08,Missing features
35,3,Starter,annual,canceled,12.5,2026-05-30,2026-06-29,Switched to competitor
36,2,Starter,monthly,active,15.0,2025-01-26,,
37,1,Free,monthly,canceled,0.0,2025-02-12,2025-08-30,Too expensive
38,3,Starter,annual,active,12.5,2026-06-17,,
39,3,Starter,annual,active,12.5,2026-04-04,,
40,1,Free,monthly,canceled,0.0,2025-01-07,2025-07-19,Missing features
41,1,Free,monthly,canceled,0.0,2024-11-30,2025-06-17,Poor support experience
42,1,Free,monthly,active,0.0,2025-02-19,,
43,1,Free,monthly,active,0.0,2025-11-22,,
44,1,Free,monthly,canceled,0.0,2024-04-05,2025-04-10,Too expensive
45,4,Pro,monthly,canceled,49.0,2025-04-11,2025-06-04,No longer needed
46,6,Enterprise,monthly,active,199.0,2026-03-25,,
47,3,Starter,annual,active,12.5,2026-02-10,,
48,2,Starter,monthly,active,15.0,2024-07-13,,
49,7,Enterprise,annual,active,165.83,2025-07-30,,
50,1,Free,monthly,canceled,0.0,2025-12-24,2026-04-25,Switched to competitor
51,1,Free,monthly,upgraded,0.0,2026-05-27,2026-06-30,
52,3,Starter,annual,canceled,12.5,2024-11-27,2026-06-08,Budget cuts
53,4,Pro,monthly,active,49.0,2024-05-10,,
54,1,Free,monthly,canceled,0.0,2024-02-21,2024-06-12,No longer needed
55,6,Enterprise,monthly,canceled,199.0,2024-03-03,2024-10-11,No longer needed
56,5,Pro,annual,canceled,40.83,2024-11-16,2025-03-11,No longer needed
57,2,Starter,monthly,active,15.0,2025-03-31,,
58,1,Free,monthly,active,0.0,2025-11-24,,
59,4,Pro,monthly,active,49.0,2026-04-04,,
60,4,Pro,monthly,upgraded,49.0,2026-06-07,2026-06-30,
61,1,Free,monthly,canceled,0.0,2025-10-28,2026-04-25,Too expensive
62,7,Enterprise,annual,canceled,165.83,2025-04-04,2026-01-30,No longer needed
63,1,Free,monthly,active,0.0,2025-05-14,,
64,3,Starter,annual,canceled,12.5,2024-10-11,2025-04-21,Switched to competitor
65,2,Starter,monthly,canceled,15.0,2024-10-28,2025-08-17,Too expensive
66,3,Starter,annual,canceled,12.5,2024-12-26,2026-03-29,Switched to competitor
67,3,Starter,annual,active,12.5,2024-08-09,,
68,2,Starter,monthly,active,15.0,2024-09-05,,
69,3,Starter,annual,canceled,12.5,2024-04-15,2026-06-23,Missing features
70,6,Enterprise,monthly,active,199.0,2026-06-10,,
71,2,Starter,monthly,canceled,15.0,2024-06-19,2024-07-12,Poor support experience
72,1,Free,monthly,active,0.0,2026-05-30,,
73,4,Pro,monthly,active,49.0,2025-11-07,,
74,1,Free,monthly,canceled,0.0,2024-08-25,2025-08-08,Poor support experience
75,3,Starter,annual,canceled,12.5,2024-06-28,2026-06-06,No longer needed
76,1,Free,monthly,active,0.0,2025-03-25,,
77,1,Free,monthly,active,0.0,2026-06-29,,
78,1,Free,monthly,active,0.0,2025-12-12,,
79,7,Enterprise,annual,active,165.83,2025-08-02,,
80,6,Enterprise,monthly,active,199.0,2024-06-24,,
81,3,Starter,annual,active,12.5,2025-09-29,,
82,7,Enterprise,annual,canceled,165.83,2025-02-27,2025-11-17,Budget cuts
83,3,Starter,annual,active,12.5,2025-09-27,,
84,4,Pro,monthly,active,49.0,2026-04-11,,
85,1,Free,monthly,canceled,0.0,2024-10-09,2025-07-09,No longer needed
86,1,Free,monthly,active,0.0,2025-11-06,,
87,1,Free,monthly,active,0.0,2025-12-15,,
88,2,Starter,monthly,active,15.0,2024-02-07,,
89,2,Starter,monthly,upgraded,15.0,2026-06-10,2026-06-30,
90,1,Free,monthly,active,0.0,2026-05-22,,
91,2,Starter,monthly,canceled,15.0,2025-02-16,2025-03-16,Poor support experience
92,3,Starter,annual,active,12.5,2024-04-09,,
93,2,Starter,monthly,active,15.0,2024-10-26,,
94,1,Free,monthly,active,0.0,2024-09-18,,
95,5,Pro,annual,active,40.83,2026-03-20,,
96,2,Starter,monthly,active,15.0,2026-06-04,,
97,2,Starter,monthly,canceled,15.0,2026-05-02,2026-05-29,Budget cuts
98,1,Free,monthly,active,0.0,2025-10-05,,
99,5,Pro,annual,active,40.83,2026-02-28,,
100,2,Starter,monthly,active,15.0,2026-04-24,,
101,1,Free,monthly,canceled,0.0,2026-05-16,2026-06-29,Missing features
102,6,Enterprise,monthly,active,199.0,2025-07-15,,
103,6,Enterprise,monthly,active,199.0,2026-01-20,,
104,6,Enterprise,monthly,active,199.0,2024-06-16,,
105,3,Starter,annual,upgraded,12.5,2026-06-25,2026-06-30,
106,1,Free,monthly,active,0.0,2024-08-29,,
107,1,Free,monthly,active,0.0,2024-05-05,,
108,2,Starter,monthly,active,15.0,2024-05-08,,
109,1,Free,monthly,active,0.0,2024-01-03,,
110,5,Pro,annual,upgraded,40.83,2026-05-29,2026-06-30,
111,4,Pro,monthly,active,49.0,2025-04-04,,
112,2,Starter,monthly,canceled,15.0,2024-03-03,2026-05-25,Poor support experience
113,2,Starter,monthly,canceled,15.0,2024-03-08,2025-04-21,Poor support experience
114,5,Pro,annual,canceled,40.83,2026-01-08,2026-05-02,Switched to competitor
115,4,Pro,monthly,active,49.0,2025-02-27,,
116,6,Enterprise,monthly,canceled,199.0,2024-05-28,2025-02-23,Too expensive
117,6,Enterprise,monthly,active,199.0,2025-11-09,,
118,1,Free,monthly,active,0.0,2024-12-26,,
119,2,Starter,monthly,canceled,15.0,2026-01-18,2026-03-08,Switched to competitor
120,4,Pro,monthly,active,49.0,2024-01-30,,
121,7,Enterprise,annual,active,165.83,2024-08-08,,
122,2,Starter,monthly,active,15.0,2026-03-06,,
123,1,Free,monthly,canceled,0.0,2025-05-12,2026-01-16,Too expensive
124,1,Free,monthly,active,0.0,2025-06-23,,
