subscription_id,user_id,plan_id,start_date,end_date,status,mrr,cancellation_reason
1,1,2,2024-08-16,2024-11-21,upgraded,15,
2,1,3,2024-11-21,2025-09-12,canceled,12.5,Switched to competitor
3,2,1,2025-06-01,2025-06-23,upgraded,0,
4,2,4,2025-06-23,2025-08-19,upgraded,49,
5,2,6,2025-08-19,,active,199,
6,3,4,2025-12-15,2026-03-18,upgraded,49,
7,3,1,2026-03-18,2026-04-25,canceled,0,Missing features
8,4,4,2024-09-27,2026-01-30,canceled,49,Switched to competitor
9,5,2,2025-08-14,2025-09-10,canceled,15,No longer needed
10,6,1,2024-10-11,2024-11-29,upgraded,0,
11,6,5,2024-11-29,,active,40.83,
12,7,4,2026-01-16,,active,49,
13,8,1,2026-04-21,,active,0,
14,9,1,2026-06-24,,active,0,
15,10,1,2025-01-05,,active,0,
16,11,4,2024-03-06,,active,49,
17,12,2,2026-02-07,,active,15,
18,13,1,2024-04-18,,active,0,
19,14,2,2025-09-05,2025-11-13,upgraded,15,
20,14,1,2025-11-13,2026-03-11,upgraded,0,
21,14,6,2026-03-11,2026-06-12,canceled,199,Poor support experience
22,15,1,2024-03-21,2024-06-12,upgraded,0,
23,15,7,2024-06-12,,active,165.83,
24,16,1,2025-06-24,2025-09-06,canceled,0,Too expensive
25,17,1,2025-06-13,,active,0,
26,18,1,2024-08-22,2025-01-31,canceled,0,Too expensive
27,19,2,2025-08-13,2025-09-27,canceled,15,Poor support experience
28,20,4,2025-11-20,,active,49,
29,21,2,2025-04-04,,active,15,
30,22,1,2026-05-06,2026-06-22,upgraded,0,
31,22,7,2026-06-22,,active,165.83,
32,23,1,2024-06-17,,active,0,
33,24,1,2024-07-13,2024-09-07,upgraded,0,
34,24,6,2024-09-07,,active,199,
35,25,1,2024-06-10,,active,0,
36,26,1,2024-09-09,2024-11-24,upgraded,0,
37,26,4,2024-11-24,,active,49,
38,27,2,2024-09-28,2024-11-07,upgraded,15,
39,27,7,2024-11-07,2024-12-22,downgraded,165.83,
40,27,5,2024-12-22,,active,40.83,
41,28,4,2024-04-12,2026-01-24,canceled,49,Too expensive
42,29,1,2025-03-24,,active,0,
43,30,1,2024-09-27,2026-04-02,canceled,0,Switched to competitor
44,31,2,2025-05-15,2025-07-14,upgraded,15,
45,31,6,2025-07-14,,active,199,
46,32,3,2026-01-29,,active,12.5,
47,33,1,2025-08-19,,active,0,
48,34,1,2025-11-29,2025-12-16,upgraded,0,
49,34,6,2025-12-16,2026-05-08,canceled,199,Missing features
50,35,2,2026-03-30,2026-05-30,upgraded,15,
51,35,3,2026-05-30,2026-06-29,canceled,12.5,Switched to competitor
52,36,2,2025-01-26,,active,15,
53,37,1,2025-02-12,2025-08-30,canceled,0,Too expensive
54,38,3,2026-06-17,,active,12.5,
55,39,3,2025-09-12,2025-11-17,upgraded,12.5,
56,39,2,2025-11-17,2026-01-09,upgraded,15,
57,39,4,2026-01-09,2026-04-04,upgraded,49,
58,39,3,2026-04-04,,active,12.5,
59,40,1,2025-01-07,2025-07-19,canceled,0,Missing features
60,41,1,2024-11-30,2025-06-17,canceled,0,Poor support experience
61,42,1,2025-02-19,,active,0,
62,43,1,2025-11-22,,active,0,
63,44,1,2024-04-05,2025-04-10,canceled,0,Too expensive
64,45,4,2025-04-11,2025-06-04,canceled,49,No longer needed
65,46,3,2026-03-08,2026-03-25,upgraded,12.5,
66,46,6,2026-03-25,,active,199,
67,47,1,2025-11-14,2026-02-10,upgraded,0,
68,47,3,2026-02-10,,active,12.5,
69,48,1,2024-06-11,2024-07-13,upgraded,0,
70,48,2,2024-07-13,,active,15,
71,49,1,2025-03-26,2025-05-08,upgraded,0,
72,49,4,2025-05-08,2025-05-23,upgraded,49,
73,49,6,2025-05-23,2025-07-30,downgraded,199,
74,49,7,2025-07-30,,active,165.83,
